rank,actor_id,actor_name,final_score,exposure_score,hhi_score,hhi_normalized,num_eligible_credits,top_k_count,english_percent,voice_percent,top_movie_1,top_movie_2,top_movie_3
1,6193,Actor_6193,120.5936,141.8690,0.0670,0.0003,20,15,100.0,0.0,Inception,Titanic,The Wolf of Wall Street
2,85,Actor_85,117.4002,138.1149,0.0668,0.0002,28,15,100.0,0.0,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: Dead Man's Chest,Charlie and the Chocolate Factory
3,2888,Actor_2888,116.4307,136.9752,0.0668,0.0001,20,15,100.0,0.0,Suicide Squad,I Am Legend,"I, Robot"
4,500,Actor_500,116.2567,136.7720,0.0667,0.0000,27,15,100.0,0.0,Edge of Tomorrow,Oblivion,Mission: Impossible - Ghost Protocol
5,62,Actor_62,113.3255,133.3219,0.0668,0.0001,22,15,80.0,0.0,The Sixth Sense,Die Hard,The Fifth Element
6,206,Actor_206,112.0157,131.7782,0.0669,0.0003,21,15,100.0,0.0,The Truman Show,Eternal Sunshine of the Spotless Mind,Bruce Almighty
7,18918,Actor_18918,111.9472,131.7006,0.0668,0.0001,19,15,100.0,0.0,Jumanji: Welcome to the Jungle,Jumanji: The Next Level,San Andreas
8,6384,Actor_6384,109.8664,129.2063,0.0692,0.0027,16,15,100.0,0.0,The Matrix,John Wick,John Wick: Chapter 2
9,3223,Actor_3223,109.1054,128.2703,0.0714,0.0050,18,15,100.0,0.0,The Avengers,Avengers: Infinity War,Iron Man
10,976,Actor_976,106.8405,125.6928,0.0668,0.0001,23,15,100.0,0.0,Snatch,The Meg,Wrath of Man
11,1892,Actor_1892,106.1816,124.8773,0.0689,0.0024,22,15,100.0,0.0,The Martian,Good Will Hunting,The Bourne Identity
12,287,Actor_287,103.4483,121.6509,0.0695,0.0030,27,15,100.0,0.0,Inglourious Basterds,World War Z,Fury
13,13240,Actor_13240,102.4634,120.5013,0.0690,0.0025,19,15,100.0,0.0,Ted,Transformers: Age of Extinction,Ted 2
14,380,Actor_380,97.2836,114.3784,0.0705,0.0041,26,15,100.0,0.0,GoodFellas,Taxi Driver,The Irishman
15,2963,Actor_2963,96.9883,114.0272,0.0707,0.0043,15,15,100.0,0.0,The Croods,National Treasure,Ghost Rider
16,3894,Actor_3894,96.9395,113.9323,0.0727,0.0065,18,15,100.0,0.0,The Dark Knight,The Dark Knight Rises,Batman Begins
17,3,Actor_3,96.4975,113.4343,0.0715,0.0052,18,15,100.0,0.0,Star Wars: The Force Awakens,Blade Runner,Raiders of the Lost Ark
18,131,Actor_131,95.0777,111.7568,0.0719,0.0056,16,15,100.0,0.0,Donnie Darko,Nightcrawler,Zodiac
19,74568,Actor_74568,87.5568,102.8279,0.0762,0.0102,18,15,100.0,0.0,Thor,Thor: The Dark World,Thor: Love and Thunder
20,880,Actor_880,84.3235,98.8255,0.0867,0.0215,13,15,100.0,0.0,Gone Girl,Batman v Superman: Dawn of Justice,Justice League
21,73457,Actor_73457,82.3757,96.4769,0.0897,0.0247,13,15,100.0,14.3,Guardians of the Galaxy,Guardians of the Galaxy Vol. 2,Jurassic World
22,6968,Actor_6968,80.4065,94.1503,0.0902,0.0253,13,15,100.0,0.0,Logan,The Prestige,X-Men: Days of Future Past
23,8784,Actor_8784,79.9278,93.6009,0.0895,0.0245,13,15,100.0,0.0,Skyfall,Knives Out,Casino Royale
24,10980,Actor_10980,79.4800,92.8383,0.1020,0.0378,11,15,100.0,0.0,Harry Potter and the Philosopher's Stone,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban
25,16828,Actor_16828,78.3021,91.8577,0.0805,0.0149,15,15,88.9,0.0,Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier
26,3061,Actor_3061,77.6307,91.1149,0.0781,0.0122,15,15,100.0,0.0,Trainspotting,Big Fish,The Island
27,72129,Actor_72129,77.0759,90.1885,0.0925,0.0277,13,15,100.0,0.0,The Hunger Games,The Hunger Games: Catching Fire,The Hunger Games: Mockingjay - Part 1
28,934,Actor_934,76.0268,89.0719,0.0863,0.0210,14,15,100.0,0.0,Gladiator,A Beautiful Mind,The Nice Guys
29,30614,Actor_30614,75.0990,87.9637,0.0872,0.0220,13,15,100.0,0.0,La La Land,Blade Runner 2049,Drive
30,1461,Actor_1461,74.9087,87.6005,0.0946,0.0299,11,15,100.0,0.0,Ocean's Eleven,Ocean's Twelve,Ocean's Thirteen
31,1158,Actor_1158,70.6701,82.6436,0.0930,0.0282,12,15,100.0,0.0,The Godfather Part II,Scarface,Heat
32,1100,Actor_1100,67.5023,78.8083,0.0987,0.0344,12,15,100.0,0.0,The Terminator,Terminator 2: Judgment Day,Predator
33,37917,Actor_37917,66.6171,77.5626,0.1095,0.0459,10,15,100.0,0.0,Twilight,The Twilight Saga: New Moon,The Twilight Saga: Breaking Dawn - Part 2
34,1245,Actor_1245,64.7293,75.8333,0.0835,0.0181,22,15,100.0,8.3,Lucy,Black Widow,Ghost in the Shell
35,569,Actor_569,64.4858,75.3772,0.0925,0.0277,14,15,100.0,0.0,The Purge,Predestination,Gattaca
36,54693,Actor_54693,62.9297,73.6362,0.0878,0.0226,14,15,100.0,0.0,Cruella,The Help,Easy A
37,524,Actor_524,62.0950,72.5589,0.0928,0.0280,13,15,87.5,0.0,Black Swan,V for Vendetta,Annihilation
38,72466,Actor_72466,61.9406,72.2102,0.1016,0.0375,13,15,100.0,0.0,The Lobster,Total Recall,In Bruges
39,2231,Actor_2231,61.2377,71.8771,0.0755,0.0095,25,15,100.0,8.3,The Hateful Eight,Coach Carter,Pulp Fiction
40,1813,Actor_1813,60.2949,70.7112,0.0785,0.0127,16,15,100.0,0.0,The Princess Diaries,One Day,The Princess Diaries 2: Royal Engagement
41,190,Actor_190,60.0438,69.5306,0.1253,0.0629,8,15,100.0,0.0,Gran Torino,Million Dollar Baby,"The Good, the Bad and the Ugly"
42,2524,Actor_2524,59.9761,69.7976,0.1070,0.0432,11,15,100.0,0.0,Mad Max: Fury Road,Venom,Venom: Let There Be Carnage
43,192,Actor_192,59.8977,70.2546,0.0779,0.0121,21,15,100.0,0.0,Se7en,Invictus,The Shawshank Redemption
44,10297,Actor_10297,59.6727,69.2958,0.1147,0.0514,10,15,100.0,0.0,Interstellar,Dallas Buyers Club,Sing
45,514,Actor_514,59.0744,68.6354,0.1124,0.0490,10,15,100.0,0.0,The Shining,One Flew Over the Cuckoo's Nest,Mars Attacks!
46,62064,Actor_62064,56.2787,65.3427,0.1125,0.0492,11,15,100.0,0.0,Star Trek,Star Trek Into Darkness,Rise of the Guardians
47,5530,Actor_5530,55.2701,63.9608,0.1229,0.0602,9,15,100.0,0.0,Split,X-Men: Apocalypse,Glass
48,5469,Actor_5469,55.1065,64.3287,0.0932,0.0285,15,15,100.0,0.0,The Grand Budapest Hotel,The King's Man,The Reader
